id,query_word,word,score,tag1,tag2,tag3,tag4,remove,lemmas,stems
1,assault,attack,93835,syn,n,NA,NA,0,attack,attack
1,assault,sexual assault,93573,syn,n,NA,NA,0,sexual assault,sexual assault
1,assault,rape,92281,syn,n,NA,NA,0,rape,rape
1,assault,battery,85324,syn,n,NA,NA,0,battery,batteri
1,assault,violation,85044,syn,n,NA,NA,0,violation,violat
1,assault,offensive,84266,syn,n,NA,NA,0,offensive,offens
1,assault,ravishment,80402,syn,n,NA,NA,0,ravishment,ravish
1,assault,assail,79614,syn,v,NA,NA,0,assail,assail
1,assault,round,79435,syn,n,NA,NA,0,round,round
1,assault,snipe,79399,syn,n,NA,NA,0,snipe,snipe
1,assault,lash out,77922,syn,v,NA,NA,0,lash out,lash out
1,assault,assault and battery,74527,syn,n,NA,NA,0,assault and battery,assault and batteri
1,assault,set on,74527,syn,v,NA,NA,0,set on,set on
1,assault,stabbing,69045,NA,NA,NA,NA,0,stab,stab
1,assault,burglary,68574,NA,NA,NA,NA,0,burglary,burglari
1,assault,incident,68062,NA,NA,NA,NA,0,incident,incid
1,assault,robbery,67706,NA,NA,NA,NA,0,robbery,robberi
1,assault,harassment,67452,NA,NA,NA,NA,0,harassment,harass
1,assault,invasion,65598,NA,NA,NA,NA,0,invasion,invas
1,assault,attacks,65273,NA,NA,NA,NA,0,attack,attack
1,assault,onslaught,65102,NA,NA,NA,NA,0,onslaught,onslaught
1,assault,raid,65070,NA,NA,NA,NA,0,raid,raid
1,assault,mugging,64687,NA,NA,NA,NA,0,mug,mug
1,assault,attacking,64224,NA,NA,NA,NA,0,attack,attack
1,assault,abuse,64049,NA,NA,NA,NA,0,abuse,abus
1,assault,violence,63833,NA,NA,NA,NA,0,violence,violenc
1,assault,incursion,63436,NA,NA,NA,NA,0,incursion,incurs
1,assault,bombing,63333,NA,NA,NA,NA,0,bomb,bomb
1,assault,molestation,63220,NA,NA,NA,NA,0,molestation,molest
1,assault,siege,62455,NA,NA,NA,NA,0,siege,sieg
1,assault,wounding,62223,NA,NA,NA,NA,0,wound,wound
1,assault,firefight,62071,NA,NA,NA,NA,0,firefight,firefight
1,assault,aggressor,61953,NA,NA,NA,NA,0,aggressor,aggressor
1,assault,stab,61724,NA,NA,NA,NA,0,stab,stab
1,assault,aggression,61607,NA,NA,NA,NA,0,aggression,aggress
1,assault,offense,61050,NA,NA,NA,NA,0,offense,offens
1,assault,breach,61024,NA,NA,NA,NA,0,breach,breach
1,assault,beating,60846,NA,NA,NA,NA,0,beat,beat
1,assault,insult,60786,NA,NA,NA,NA,0,insult,insult
1,assault,affront,60735,NA,NA,NA,NA,0,affront,affront
1,assault,aggressions,60649,NA,NA,NA,NA,0,aggression,aggress
1,assault,battle,60246,NA,NA,NA,NA,0,battle,battl
1,assault,gunpoint,60011,NA,NA,NA,NA,0,gunpoint,gunpoint
1,assault,storming,59924,NA,NA,NA,NA,0,storm,storm
1,assault,infringement,59860,NA,NA,NA,NA,0,infringement,infring
1,assault,encroachment,59806,NA,NA,NA,NA,0,encroachment,encroach
1,assault,strike,59794,NA,NA,NA,NA,0,strike,strike
1,assault,blast,59787,NA,NA,NA,NA,0,blast,blast
1,assault,bullying,59538,NA,NA,NA,NA,0,bully,bulli
1,assault,violent,59158,NA,NA,NA,NA,0,violent,violent
1,assault,raiding,59059,NA,NA,NA,NA,0,raid,raid
1,assault,victimization,58995,NA,NA,NA,NA,0,victimization,victim
1,assault,blow,58866,NA,NA,NA,NA,0,blow,blow
1,assault,injury,58830,NA,NA,NA,NA,0,injury,injuri
1,assault,savagely,58688,NA,NA,NA,NA,0,savagely,savag
1,assault,commando,58664,NA,NA,NA,NA,0,commando,commando
1,assault,slap,58502,NA,NA,NA,NA,0,slap,slap
1,assault,blitz,58483,NA,NA,NA,NA,0,blitz,blitz
1,assault,coercion,58447,NA,NA,NA,NA,0,coercion,coercion
1,assault,banging,58065,NA,NA,NA,NA,0,bang,bang
1,assault,storm,56742,NA,NA,NA,NA,0,storm,storm
1,assault,harm,56679,NA,NA,NA,NA,0,harm,harm
1,assault,outrage,56638,NA,NA,NA,NA,0,outrage,outrag
1,assault,stroke,56156,NA,NA,NA,NA,0,stroke,stroke
1,assault,beat,55703,NA,NA,NA,NA,0,beat,beat
1,assault,surprise,55336,NA,NA,NA,NA,0,surprise,surpris
1,assault,coups,55238,NA,NA,NA,NA,0,coup,coup
1,assault,mug,54035,NA,NA,NA,NA,0,mug,mug
1,assault,stress,53028,NA,NA,NA,NA,0,stress,stress
1,assault,stresses,52485,NA,NA,NA,NA,0,stress,stress
1,assault,non-aggression,50966,NA,NA,NA,NA,0,non - aggression,non - aggress
1,assault,indecent assault,50960,NA,NA,NA,NA,0,indecent assault,indec assault
1,assault,felony,50959,NA,NA,NA,NA,0,felony,feloni
1,assault,affray,50958,NA,NA,NA,NA,0,affray,affrai
1,assault,murder,50957,NA,NA,NA,NA,0,murder,murder
1,assault,arson,50956,NA,NA,NA,NA,0,arson,arson
1,assault,malicious mischief,50955,NA,NA,NA,NA,0,malicious mischief,malici mischief
1,assault,assailant,50954,NA,NA,NA,NA,0,assailant,assail
1,assault,manslaughter,50953,NA,NA,NA,NA,0,manslaughter,manslaught
1,assault,trespass,50951,NA,NA,NA,NA,0,trespass,trespass
1,assault,arrest,50948,n,v,NA,NA,0,arrest,arrest
1,assault,homicide,50947,NA,NA,NA,NA,0,homicide,homicid
1,assault,larceny,50946,NA,NA,NA,NA,0,larceny,larceni
1,assault,statutory rape,50945,NA,NA,NA,NA,0,statutory rape,statutori rape
1,assault,misdemeanor,50943,n,adj,NA,NA,0,misdemeanor,misdemeanor
1,assault,theft,50940,NA,NA,NA,NA,0,theft,theft
1,assault,ambush,50939,NA,NA,NA,NA,0,ambush,ambush
1,assault,aggravated assault,50938,NA,NA,NA,NA,0,aggravate assault,aggrav assault
1,assault,altercation,50936,NA,NA,NA,NA,0,altercation,alterc
1,assault,armed robbery,50935,NA,NA,NA,NA,0,arm robbery,arm robberi
2,burglary,carjacking,73235,NA,NA,NA,NA,0,carjacking,carjack
2,burglary,assault,68842,NA,NA,NA,NA,0,assault,assault
2,burglary,heist,66484,NA,NA,NA,NA,0,heist,heist
2,burglary,stealing,65906,n,v,NA,NA,0,steal,steal
2,burglary,stickup,64536,NA,NA,NA,NA,0,stickup,stickup
2,burglary,steal,62419,NA,NA,NA,NA,0,steal,steal
2,burglary,looting,61067,NA,NA,NA,NA,0,loot,loot
2,burglary,banditry,58697,NA,NA,NA,NA,0,banditry,banditri
2,burglary,breaking,57826,n,v,NA,NA,0,break,break
2,burglary,rustling,57530,NA,NA,NA,NA,0,rustle,rustl
2,burglary,demolition,57106,NA,NA,NA,NA,0,demolition,demolit
2,burglary,burst,53361,NA,NA,NA,NA,0,burst,burst
2,burglary,blasting,51280,NA,NA,NA,NA,0,blast,blast
2,burglary,break-in,51234,NA,NA,NA,NA,0,break - in,break - in
2,burglary,grand larceny,51229,n,prop,NA,NA,0,grand larceny,grand larceni
2,burglary,petty larceny,51228,NA,NA,NA,NA,0,petty larceny,petti larceni
2,burglary,vandalism,51227,NA,NA,NA,NA,0,vandalism,vandal
2,burglary,break in,51224,NA,NA,NA,NA,0,break in,break in
2,burglary,burglar alarm,51223,NA,NA,NA,NA,0,burglar alarm,burglar alarm
2,burglary,crime,51221,NA,NA,NA,NA,0,crime,crime
2,burglary,shoplifter,51219,NA,NA,NA,NA,0,shoplifter,shoplift
2,burglary,thief,51217,NA,NA,NA,NA,0,thief,thief
2,burglary,intruder,51215,NA,NA,NA,NA,0,intruder,intrud
2,burglary,holdup,51214,NA,NA,NA,NA,0,holdup,holdup
2,burglary,identity theft,51209,NA,NA,NA,NA,0,identity theft,ident theft
2,burglary,embezzlement,51208,NA,NA,NA,NA,0,embezzlement,embezzl
2,burglary,criminal,51207,NA,NA,NA,NA,0,criminal,crimin
2,burglary,offender,51204,NA,NA,NA,NA,0,offender,offend
2,burglary,police,51203,NA,NA,NA,NA,0,police,polic
2,burglary,accomplice,51198,NA,NA,NA,NA,0,accomplice,accomplic
2,burglary,felon,51197,NA,NA,NA,NA,0,felon,felon
2,burglary,burglars,51195,NA,NA,NA,NA,0,burglar,burglar
2,burglary,shoplifting,51194,NA,NA,NA,NA,0,shoplift,shoplift
2,burglary,grand theft,51192,n,prop,NA,NA,0,grand theft,grand theft
2,burglary,petit larceny,51191,NA,NA,NA,NA,0,petit larceny,petit larceni
2,burglary,prowler,51190,NA,NA,NA,NA,0,prowler,prowler
2,burglary,safecracking,51189,NA,NA,NA,NA,0,safecracking,safecrack
2,burglary,disorderly conduct,51187,NA,NA,NA,NA,0,disorderly conduct,disorderli conduct
2,burglary,resisting arrest,51186,NA,NA,NA,NA,0,resist arrest,resist arrest
2,burglary,indecent exposure,51185,NA,NA,NA,NA,0,indecent exposure,indec exposur
2,burglary,larcenist,51184,NA,NA,NA,NA,0,larcenist,larcenist
2,burglary,larcener,51183,NA,NA,NA,NA,0,larcener,larcen
2,burglary,burglar,51182,NA,NA,NA,NA,0,burglar,burglar
2,burglary,trespassing,51181,NA,NA,NA,NA,0,trespass,trespass
