id,words,context,explanation
1,afraid,fear,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
2,alone,fear,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
3,assault,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
4,avoid,fear,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
5,burglary,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
6,CCTV,other,
7,coppers,police,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
8,whore,other,
9,crime,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
10,criminal,other,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
11,detain,police,
12,detention,police,
13,drugs,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
14,drunk,other,
15,fear,fear,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
16,forgery,crime_type,
17,fraud,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
18,gang,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
19,gun,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
20,hacking,crime_type,
21,harrassment,crime_type,
22,homophobia,crime_type,
23,imprisonment,other,
24,injury,crime_type,
25,knife,crime_type,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
26,mugged,crime_type,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
27,mugging,crime_type,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
28,murder,crime_type,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
29,offence,other,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
30,pigs,police,https://www.dissidentreality.com/articles/uk-prison-slang/
31,police,police,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
32,prison,other,
33,prostitute,other,
34,prostitution,other,
35,racist,crime_type,
36,rape,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
37,scary,fear,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
38,smuggle,crime_type,
39,shoplifting,crime_type,
40,stalk,crime_type,
41,stolen,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
42,terror,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
43,theft,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
44,trafficking,crime_type,
45,trespass,crime_type,
46,vandal,crime_type,
47,violence,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
48,weapon,crime_type,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
49,worried,fear,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
50,hate,crime_type,
51,shank,crime_type,https://www.shinobilifeonline.com/index.php?topic=2973.0
